Latitude (decimal degrees):	42.469
Longitude (decimal degrees):	12.739
Elevation (m):	943
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -15 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230331:1010,259.77,320.29,49.18,12.97,2.41,0.0
20230331:1110,576.0,708.01,51.69,13.75,2.62,0.0
20230331:1210,617.06,760.92,49.68,14.02,2.69,0.0
20230331:1310,312.26,383.79,43.76,14.67,2.83,0.0
20230331:1410,302.74,371.88,35.24,14.54,3.03,0.0
20230331:1510,94.22,128.13,25.24,13.83,2.97,0.0
20230331:1610,48.53,73.59,14.48,13.15,2.55,0.0
20230331:1710,2.08,10.39,3.44,12.23,1.79,0.0
20230331:1810,0.0,0.0,0.0,10.96,1.52,0.0
20230331:1910,0.0,0.0,0.0,10.06,1.45,0.0
20230331:2010,0.0,0.0,0.0,9.28,1.31,0.0
20230331:2110,0.0,0.0,0.0,8.93,1.31,0.0
20230331:2210,0.0,0.0,0.0,9.12,1.38,0.0
20230331:2310,0.0,0.0,0.0,9.25,1.59,0.0
20230401:0010,0.0,0.0,0.0,9.12,1.86,0.0
20230401:0110,0.0,0.0,0.0,9.05,1.72,0.0
20230401:0210,0.0,0.0,0.0,8.13,1.59,0.0
20230401:0310,0.0,0.0,0.0,7.81,1.52,0.0
20230401:0410,0.0,0.0,0.0,7.84,1.38,0.0
20230401:0510,0.0,2.6,2.5,7.67,1.24,0.0
20230401:0610,212.97,267.77,13.55,7.88,1.03,0.0
20230401:0710,314.06,377.8,24.37,8.24,0.69,0.0
20230401:0810,572.7,697.96,34.5,9.58,1.1,0.0
20230401:0910,619.33,759.42,43.26,10.8,1.72,0.0
20230401:1010,526.94,644.42,49.57,11.8,1.79,0.0
20230401:1110,684.25,851.6,52.08,12.84,2.21,0.0
20230401:1210,582.17,714.37,50.03,13.12,2.48,0.0
20230401:1310,642.29,785.38,44.05,12.94,2.9,0.0
20230401:1410,184.87,231.98,35.49,12.26,2.62,0.0
20230401:1510,67.51,95.85,25.46,11.85,2.55,0.0
20230401:1610,38.37,60.6,14.68,10.97,2.14,0.0
20230401:1710,1.26,8.66,3.64,10.08,1.38,0.0
20230401:1810,0.0,0.0,0.0,9.29,0.76,0.0
20230401:1910,0.0,0.0,0.0,9.21,0.41,0.0
20230401:2010,0.0,0.0,0.0,8.59,0.62,0.0
20230401:2110,0.0,0.0,0.0,8.01,0.69,0.0
20230401:2210,0.0,0.0,0.0,7.31,0.83,0.0
20230401:2310,0.0,0.0,0.0,6.35,0.97,0.0
20230402:0010,0.0,0.0,0.0,5.35,1.1,0.0
20230402:0110,0.0,0.0,0.0,4.83,1.1,0.0
20230402:0210,0.0,0.0,0.0,3.7,1.24,0.0
20230402:0310,0.0,0.0,0.0,2.68,1.31,0.0
20230402:0410,0.0,0.0,0.0,2.18,1.31,0.0
20230402:0510,0.95,7.79,2.82,1.95,1.38,0.0
20230402:0610,179.95,223.45,13.87,3.66,1.1,0.0
20230402:0710,307.47,368.66,24.7,7.38,0.69,0.0
20230402:0810,547.79,670.2,34.85,9.76,0.76,0.0
20230402:0910,461.62,571.39,43.63,11.46,0.21,0.0
20230402:1010,623.74,794.36,49.96,12.49,0.34,0.0
20230402:1110,633.67,807.13,52.46,12.94,0.55,0.0
20230402:1210,410.78,510.88,50.38,13.44,0.48,0.0
20230402:1310,503.41,635.18,44.35,13.93,0.14,0.0
20230402:1410,199.65,253.54,35.74,13.84,0.21,0.0
20230402:1510,39.41,62.67,25.68,13.64,0.07,0.0
20230402:1610,55.11,81.38,14.89,11.9,0.34,0.0
20230402:1710,3.5,12.99,3.84,10.47,0.55,0.0
20230402:1810,0.0,0.0,0.0,9.56,0.55,0.0
20230402:1910,0.0,0.0,0.0,9.15,0.76,0.0
20230402:2010,0.0,0.0,0.0,7.16,1.24,0.0
20230402:2110,0.0,0.0,0.0,6.31,1.52,0.0
20230402:2210,0.0,0.0,0.0,5.85,1.66,0.0
20230402:2310,0.0,0.0,0.0,5.32,1.72,0.0
20230403:0010,0.0,0.0,0.0,5.24,1.72,0.0
20230403:0110,0.0,0.0,0.0,4.86,1.72,0.0
20230403:0210,0.0,0.0,0.0,4.65,1.72,0.0
20230403:0310,0.0,0.0,0.0,4.72,1.79,0.0
20230403:0410,0.0,0.0,0.0,4.79,1.79,0.0
20230403:0510,2.56,11.06,3.14,4.66,1.79,0.0
20230403:0610,200.25,248.71,14.18,5.79,1.72,0.0
20230403:0710,435.41,517.07,25.02,8.63,2.28,0.0
20230403:0810,639.88,765.98,35.19,9.77,3.17,0.0
20230403:0910,762.84,930.24,44.0,10.7,3.38,0.0
20230403:1010,584.39,706.38,50.35,11.45,3.24,0.0
20230403:1110,822.21,1018.95,52.85,11.82,3.38,0.0
20230403:1210,772.21,952.34,50.72,11.76,3.1,0.0
20230403:1310,633.46,768.58,44.64,11.73,3.03,0.0
20230403:1410,504.84,607.57,35.98,11.75,3.31,0.0
20230403:1510,277.35,347.85,25.89,11.15,3.31,0.0
20230403:1610,60.94,87.44,15.09,10.11,2.83,0.0
20230403:1710,3.06,12.12,4.05,8.65,2.69,0.0
20230403:1810,0.0,0.0,0.0,7.17,2.55,0.0
20230403:1910,0.0,0.0,0.0,6.64,2.62,0.0
20230403:2010,0.0,0.0,0.0,5.88,2.69,0.0
20230403:2110,0.0,0.0,0.0,5.2,2.48,0.0
20230403:2210,0.0,0.0,0.0,4.57,2.21,0.0
20230403:2310,0.0,0.0,0.0,4.1,2.07,0.0
20230404:0010,0.0,0.0,0.0,3.67,1.93,0.0
20230404:0110,0.0,0.0,0.0,3.3,1.93,0.0
20230404:0210,0.0,0.0,0.0,2.94,1.86,0.0
20230404:0310,0.0,0.0,0.0,2.55,1.79,0.0
20230404:0410,0.0,0.0,0.0,2.02,1.79,0.0
20230404:0510,8.29,22.75,3.45,1.5,1.72,0.0
20230404:0610,266.31,322.49,14.5,2.34,1.59,0.0
20230404:0710,494.31,577.63,25.35,4.8,2.28,0.0
20230404:0810,618.52,730.26,35.53,6.24,2.69,0.0
20230404:0910,555.76,660.9,44.37,7.38,2.41,0.0
20230404:1010,640.93,777.78,50.74,8.4,2.0,0.0
20230404:1110,611.45,752.03,53.23,9.37,1.24,0.0
20230404:1210,376.1,457.58,51.06,9.8,0.83,0.0
20230404:1310,243.73,299.86,44.93,10.08,0.9,0.0
20230404:1410,207.43,255.99,36.23,9.36,1.38,0.0
20230404:1510,270.05,336.25,26.11,8.71,1.86,0.0
20230404:1610,70.41,97.83,15.29,7.89,1.52,0.0
20230404:1710,7.9,19.91,4.25,6.83,1.38,0.0
20230404:1810,0.0,0.0,0.0,5.56,1.17,0.0
20230404:1910,0.0,0.0,0.0,5.23,1.24,0.0
20230404:2010,0.0,0.0,0.0,4.77,1.24,0.0
20230404:2110,0.0,0.0,0.0,4.13,1.38,0.0
20230404:2210,0.0,0.0,0.0,4.05,1.31,0.0
20230404:2310,0.0,0.0,0.0,3.81,1.31,0.0
20230405:0010,0.0,0.0,0.0,3.5,1.31,0.0
20230405:0110,0.0,0.0,0.0,2.89,1.31,0.0
20230405:0210,0.0,0.0,0.0,2.71,1.31,0.0
20230405:0310,0.0,0.0,0.0,2.28,1.31,0.0
20230405:0410,0.0,0.0,0.0,2.02,1.24,0.0
20230405:0510,1.64,9.22,3.76,1.84,1.24,0.0
20230405:0610,208.99,254.98,14.81,2.18,1.24,0.0
20230405:0710,302.58,355.46,25.67,3.83,1.38,0.0
20230405:0810,516.04,607.98,35.87,4.63,1.45,0.0
20230405:0910,747.46,914.4,44.73,6.02,1.45,0.0
20230405:1010,565.12,682.57,51.12,6.87,1.17,0.0
20230405:1110,95.77,127.19,53.61,7.69,0.62,0.0
20230405:1210,66.08,93.09,51.41,8.2,0.34,0.0
20230405:1310,69.25,96.77,45.21,8.35,0.76,0.0
20230405:1410,59.93,85.71,36.47,8.11,1.17,0.0
20230405:1510,123.16,158.39,26.32,7.71,1.52,0.0
20230405:1610,37.75,58.87,15.49,6.54,0.97,0.0
20230405:1710,5.16,15.58,4.45,6.09,0.34,0.0
20230405:1810,0.0,0.0,0.0,5.3,0.69,0.0
20230405:1910,0.0,0.0,0.0,4.3,0.41,0.0
20230405:2010,0.0,0.0,0.0,3.58,0.62,0.0
20230405:2110,0.0,0.0,0.0,2.65,0.76,0.0
20230405:2210,0.0,0.0,0.0,1.7,0.97,0.0
20230405:2310,0.0,0.0,0.0,0.94,1.1,0.0
20230406:0010,0.0,0.0,0.0,0.52,1.17,0.0
20230406:0110,0.0,0.0,0.0,0.05,1.17,0.0
20230406:0210,0.0,0.0,0.0,-0.51,1.31,0.0
20230406:0310,0.0,0.0,0.0,-0.68,1.31,0.0
20230406:0410,0.0,0.0,0.0,-0.83,1.38,0.0
20230406:0510,10.11,24.01,4.07,-1.28,1.45,0.0
20230406:0610,278.54,334.3,15.12,0.5,1.24,0.0
20230406:0710,512.45,599.66,25.99,3.27,1.52,0.0
20230406:0810,687.62,821.64,36.21,5.11,1.86,0.0
20230406:0910,810.94,994.73,45.09,6.78,2.07,0.0
20230406:1010,860.55,1078.61,51.51,8.26,1.93,0.0
20230406:1110,865.87,1095.28,53.99,9.43,1.86,0.0
20230406:1210,808.83,1019.62,51.74,10.21,1.66,0.0
20230406:1310,683.53,841.7,45.5,10.88,1.93,0.0
20230406:1410,518.43,627.98,36.71,10.87,2.21,0.0
20230406:1510,305.24,385.31,26.54,10.47,2.34,0.0
20230406:1610,45.05,68.4,15.69,9.61,2.28,0.0
20230406:1710,8.41,20.78,4.64,8.34,1.93,0.0
20230406:1810,0.0,0.0,0.0,6.69,1.59,0.0
20230406:1910,0.0,0.0,0.0,5.5,1.17,0.0
20230406:2010,0.0,0.0,0.0,4.95,0.97,0.0
20230406:2110,0.0,0.0,0.0,4.75,0.97,0.0
20230406:2210,0.0,0.0,0.0,3.75,1.03,0.0
20230406:2310,0.0,0.0,0.0,2.58,1.17,0.0
20230407:0010,0.0,0.0,0.0,1.68,1.31,0.0
20230407:0110,0.0,0.0,0.0,0.87,1.38,0.0
20230407:0210,0.0,0.0,0.0,0.15,1.38,0.0
20230407:0310,0.0,0.0,0.0,-0.43,1.45,0.0
20230407:0410,0.0,0.0,0.0,-0.95,1.38,0.0
20230407:0510,13.54,29.96,4.38,-1.28,1.38,0.0
20230407:0610,274.59,331.44,15.43,1.18,0.76,0.0
20230407:0710,492.38,591.15,26.3,5.66,0.34,0.0
20230407:0810,656.9,814.05,36.55,8.02,0.48,0.0
20230407:0910,782.77,990.75,45.45,9.37,1.03,0.0
20230407:1010,840.11,1073.38,51.89,10.41,1.45,0.0
20230407:1110,850.13,1084.51,54.37,11.18,1.79,0.0
20230407:1210,802.08,1009.56,52.08,11.66,2.07,0.0
20230407:1310,692.1,851.48,45.78,11.7,2.34,0.0
20230407:1410,521.76,631.4,36.95,11.43,2.62,0.0
20230407:1510,296.63,373.74,26.75,10.73,2.69,0.0
20230407:1610,45.76,69.26,15.89,9.69,2.48,0.0
20230407:1710,9.57,22.51,4.84,8.36,1.86,0.0
20230407:1810,0.0,0.0,0.0,7.01,1.24,0.0
20230407:1910,0.0,0.0,0.0,5.96,1.03,0.0
20230407:2010,0.0,0.0,0.0,5.11,1.03,0.0
20230407:2110,0.0,0.0,0.0,4.54,1.1,0.0
20230407:2210,0.0,0.0,0.0,4.19,1.24,0.0
20230407:2310,0.0,0.0,0.0,3.49,1.38,0.0
20230408:0010,0.0,0.0,0.0,3.36,1.52,0.0
20230408:0110,0.0,0.0,0.0,3.44,1.59,0.0
20230408:0210,0.0,0.0,0.0,3.75,1.59,0.0
20230408:0310,0.0,0.0,0.0,3.96,1.79,0.0
20230408:0410,0.0,0.0,0.0,3.78,2.0,0.0
20230408:0510,3.62,12.9,4.69,3.65,1.93,0.0
20230408:0610,14.16,28.57,15.74,3.94,1.72,0.0
20230408:0710,31.45,50.69,26.62,4.24,1.38,0.0
20230408:0810,58.47,82.95,36.88,5.05,1.38,0.0
20230408:0910,186.31,228.18,45.81,5.65,1.31,0.0
20230408:1010,287.13,344.83,52.27,6.88,1.45,0.0
20230408:1110,255.88,310.47,54.75,8.0,1.45,0.0
20230408:1210,370.19,447.16,52.42,8.66,1.03,0.0
20230408:1310,315.48,384.46,46.06,9.57,0.62,0.0
20230408:1410,335.86,409.1,37.19,9.39,0.48,0.0
20230408:1510,275.49,348.84,26.96,9.22,0.28,0.0
20230408:1610,60.46,86.58,16.09,8.4,0.28,0.0
20230408:1710,10.2,23.38,5.04,7.47,0.07,0.0
20230408:1810,0.0,0.0,0.0,6.66,0.48,0.0
20230408:1910,0.0,0.0,0.0,5.33,0.97,0.0
20230408:2010,0.0,0.0,0.0,4.2,1.1,0.0
20230408:2110,0.0,0.0,0.0,3.17,1.31,0.0
20230408:2210,0.0,0.0,0.0,2.52,1.45,0.0
20230408:2310,0.0,0.0,0.0,1.93,1.45,0.0
20230409:0010,0.0,0.0,0.0,1.49,1.52,0.0
20230409:0110,0.0,0.0,0.0,1.18,1.52,0.0
20230409:0210,0.0,0.0,0.0,0.88,1.59,0.0
20230409:0310,0.0,0.0,0.0,0.8,1.66,0.0
20230409:0410,0.0,0.0,0.0,0.74,1.66,0.0
20230409:0510,16.44,33.68,4.99,0.88,1.66,0.0
20230409:0610,270.63,327.2,16.04,2.62,1.38,0.0
20230409:0710,479.95,568.58,26.93,5.86,1.31,0.0
20230409:0810,630.12,762.59,37.21,8.17,1.59,0.0
20230409:0910,597.47,727.72,46.16,10.12,1.86,0.0
20230409:1010,330.99,403.37,52.64,11.39,1.72,0.0
20230409:1110,487.56,597.18,55.12,12.44,1.86,0.0
20230409:1210,122.28,160.37,52.75,12.87,2.28,0.0
20230409:1310,440.45,532.23,46.34,11.81,2.62,0.0
20230409:1410,293.52,356.27,37.42,10.94,2.55,0.0
20230409:1510,283.89,358.1,27.17,10.66,2.07,0.0
20230409:1610,74.04,103.03,16.29,10.32,1.72,0.0
20230409:1710,11.29,25.11,5.24,9.45,1.31,0.0
20230409:1810,0.0,0.0,0.0,7.97,1.31,0.0
20230409:1910,0.0,0.0,0.0,6.33,1.31,0.0
20230409:2010,0.0,0.0,0.0,4.86,1.31,0.0
20230409:2110,0.0,0.0,0.0,3.66,1.38,0.0
20230409:2210,0.0,0.0,0.0,2.67,1.45,0.0
20230409:2310,0.0,0.0,0.0,1.99,1.52,0.0
20230410:0010,0.0,0.0,0.0,0.9,1.52,0.0
20230410:0110,0.0,0.0,0.0,0.45,1.52,0.0
20230410:0210,0.0,0.0,0.0,0.0,1.59,0.0
20230410:0310,0.0,0.0,0.0,-0.21,1.66,0.0
20230410:0410,0.0,0.0,0.0,-0.29,1.66,0.0
20230410:0510,19.85,38.91,5.3,-0.47,1.59,0.0
20230410:0610,288.06,346.89,16.35,2.12,1.38,0.0
20230410:0710,510.95,603.41,27.24,5.66,1.72,0.0
20230410:0810,681.48,813.56,37.53,7.41,2.76,0.0
20230410:0910,682.07,820.75,46.52,8.75,3.03,0.0
20230410:1010,643.07,775.66,53.02,9.88,3.24,0.0
20230410:1110,630.22,763.17,55.49,10.77,3.24,0.0
20230410:1210,761.41,936.37,53.08,11.29,3.1,0.0
20230410:1310,622.66,755.25,46.62,11.37,2.9,0.0
20230410:1410,413.09,499.02,37.66,11.6,2.69,0.0
20230410:1510,298.46,378.13,27.37,11.26,2.48,0.0
20230410:1610,56.37,82.25,16.48,10.57,2.14,0.0
20230410:1710,11.9,25.97,5.43,9.42,1.66,0.0
20230410:1810,0.0,0.0,0.0,7.88,1.52,0.0
20230410:1910,0.0,0.0,0.0,6.43,1.24,0.0
20230410:2010,0.0,0.0,0.0,4.83,1.24,0.0
20230410:2110,0.0,0.0,0.0,3.6,1.24,0.0
20230410:2210,0.0,0.0,0.0,2.6,1.31,0.0
20230410:2310,0.0,0.0,0.0,1.83,1.38,0.0
20230411:0010,0.0,0.0,0.0,1.12,1.38,0.0
20230411:0110,0.0,0.0,0.0,0.56,1.38,0.0
20230411:0210,0.0,0.0,0.0,0.02,1.31,0.0
20230411:0310,0.0,0.0,0.0,-0.39,1.31,0.0
20230411:0410,0.0,0.0,0.0,-0.73,1.31,0.0
20230411:0510,9.15,21.2,5.6,-0.82,1.24,0.0
20230411:0610,54.19,77.19,16.64,2.2,0.83,0.0
20230411:0710,260.55,314.73,27.55,6.98,0.34,0.0
20230411:0810,507.4,618.81,37.86,9.14,0.55,0.0
20230411:0910,627.24,784.72,46.86,10.51,0.62,0.0
20230411:1010,707.2,898.01,53.39,11.93,1.03,0.0
20230411:1110,766.18,978.08,55.86,12.87,1.52,0.0
20230411:1210,496.99,612.85,53.41,13.63,1.79,0.0
20230411:1310,563.93,695.66,46.89,13.97,2.14,0.0
20230411:1410,471.69,576.73,37.89,13.68,2.48,0.0
20230411:1510,286.92,366.01,27.58,12.96,2.41,0.0
20230411:1610,69.09,97.83,16.68,11.9,1.93,0.0
20230411:1710,14.28,29.44,5.63,10.6,1.45,0.0
20230411:1810,0.0,0.0,0.0,9.28,1.1,0.0
20230411:1910,0.0,0.0,0.0,8.23,1.03,0.0
20230411:2010,0.0,0.0,0.0,7.04,1.03,0.0
20230411:2110,0.0,0.0,0.0,6.6,1.1,0.0
20230411:2210,0.0,0.0,0.0,6.24,1.1,0.0
20230411:2310,0.0,0.0,0.0,6.42,0.97,0.0
20230412:0010,0.0,0.0,0.0,6.65,0.9,0.0
20230412:0110,0.0,0.0,0.0,6.65,0.9,0.0
20230412:0210,0.0,0.0,0.0,6.51,0.83,0.0
20230412:0310,0.0,0.0,0.0,6.36,0.83,0.0
20230412:0410,0.0,0.0,0.0,6.19,0.9,0.0
20230412:0510,19.53,38.01,5.89,6.18,0.9,0.0
20230412:0610,264.35,328.76,16.94,7.65,0.41,0.0
20230412:0710,473.36,579.09,27.85,9.7,0.28,0.0
20230412:0810,623.86,781.39,38.18,11.45,0.55,0.0
20230412:0910,744.24,955.99,47.21,13.16,0.97,0.0
20230412:1010,794.18,1027.58,53.76,14.36,1.45,0.0
20230412:1110,785.77,1010.33,56.23,15.04,1.86,0.0
20230412:1210,744.39,946.8,53.73,15.4,2.07,0.0
20230412:1310,559.43,694.66,47.16,15.63,2.21,0.0
20230412:1410,466.47,575.83,38.12,15.15,2.14,0.0
20230412:1510,285.43,368.82,27.78,14.96,2.28,0.0
20230412:1610,78.57,136.29,16.87,14.32,2.21,0.0
20230412:1710,14.09,29.44,5.82,13.03,1.66,0.0
20230412:1810,0.0,0.0,0.0,11.46,1.31,0.0
20230412:1910,0.0,0.0,0.0,10.43,1.24,0.0
20230412:2010,0.0,0.0,0.0,9.26,1.24,0.0
20230412:2110,0.0,0.0,0.0,8.4,1.38,0.0
20230412:2210,0.0,0.0,0.0,7.68,1.45,0.0
20230412:2310,0.0,0.0,0.0,7.18,1.52,0.0
20230413:0010,0.0,0.0,0.0,6.78,1.45,0.0
20230413:0110,0.0,0.0,0.0,6.54,1.45,0.0
20230413:0210,0.0,0.0,0.0,6.0,1.52,0.0
20230413:0310,0.0,0.0,0.0,5.68,1.66,0.0
20230413:0410,0.0,0.0,0.0,5.57,1.59,0.0
20230413:0510,8.18,20.28,6.19,5.99,1.24,0.0
20230413:0610,110.37,144.4,17.23,7.43,0.9,0.0
20230413:0710,171.5,215.77,28.15,11.04,1.38,0.0
20230413:0810,135.23,175.11,38.49,12.44,2.21,0.0
20230413:0910,93.86,127.19,47.55,12.92,2.9,0.0
20230413:1010,432.52,524.69,54.13,13.11,3.17,0.0
20230413:1110,101.22,135.48,56.59,12.53,3.17,0.0
20230413:1210,56.23,82.95,54.05,13.51,3.38,0.0
20230413:1310,150.6,192.62,47.43,12.68,3.31,0.0
20230413:1410,63.89,91.24,38.34,11.0,2.76,0.0
20230413:1510,59.41,85.71,27.99,10.26,2.34,0.0
20230413:1610,16.44,32.26,17.06,9.37,2.07,0.0
20230413:1710,4.05,13.85,6.02,8.64,1.79,0.0
20230413:1810,0.0,0.0,0.0,6.75,1.31,0.0
20230413:1910,0.0,0.0,0.0,6.02,0.76,0.0
20230413:2010,0.0,0.0,0.0,4.76,1.17,0.0
20230413:2110,0.0,0.0,0.0,4.15,1.31,0.0
20230413:2210,0.0,0.0,0.0,3.4,1.24,0.0
20230413:2310,0.0,0.0,0.0,3.09,1.24,0.0
20230414:0010,0.0,0.0,0.0,2.99,1.24,0.0
20230414:0110,0.0,0.0,0.0,3.13,1.03,0.0
20230414:0210,0.0,0.0,0.0,2.72,1.1,0.0
20230414:0310,0.0,0.0,0.0,2.6,1.1,0.0
20230414:0410,0.0,0.0,0.0,2.39,1.1,0.0
20230414:0510,16.9,32.95,6.48,2.16,1.17,0.0
20230414:0610,150.51,187.47,17.52,3.36,1.24,0.0
20230414:0710,63.35,88.48,28.45,4.81,1.72,0.0
20230414:0810,502.23,591.76,38.81,5.26,1.72,0.0
20230414:0910,488.57,579.65,47.89,6.41,1.86,0.0
20230414:1010,77.58,105.99,54.49,7.81,2.14,0.0
20230414:1110,252.1,306.14,56.95,8.18,1.66,0.0
20230414:1210,179.66,223.04,54.37,8.42,1.72,0.0
20230414:1310,345.39,416.65,47.69,9.18,1.52,0.0
20230414:1410,431.69,522.74,38.57,9.63,1.31,0.0
20230414:1510,82.35,111.52,28.19,7.66,1.52,0.0
20230414:1610,96.06,134.68,17.25,7.47,0.9,0.0
20230414:1710,15.22,30.3,6.21,6.57,0.62,0.0
20230414:1810,0.0,0.0,0.0,5.72,1.1,0.0
20230414:1910,0.0,0.0,0.0,5.44,1.03,0.0
20230414:2010,0.0,0.0,0.0,4.81,1.31,0.0
20230414:2110,0.0,0.0,0.0,4.28,1.45,0.0
20230414:2210,0.0,0.0,0.0,3.79,1.52,0.0
20230414:2310,0.0,0.0,0.0,3.5,1.52,0.0
20230415:0010,0.0,0.0,0.0,3.21,1.59,0.0
20230415:0110,0.0,0.0,0.0,3.09,1.59,0.0
20230415:0210,0.0,0.0,0.0,2.96,1.66,0.0
20230415:0310,0.0,0.0,0.0,3.28,1.59,0.0
20230415:0410,0.0,0.0,0.0,3.62,1.66,0.0
20230415:0510,12.79,26.73,6.77,4.3,1.66,0.0
20230415:0610,26.13,44.24,17.81,5.05,1.79,0.0
20230415:0710,31.24,50.69,28.74,5.62,1.66,0.0
20230415:0810,77.41,105.07,39.12,5.98,1.72,0.0
20230415:0910,103.86,135.48,48.23,6.64,1.86,0.0
20230415:1010,80.15,108.75,54.85,7.3,1.93,0.0
20230415:1110,243.04,295.56,57.31,8.53,2.07,0.0
20230415:1210,337.19,408.74,54.69,10.1,1.66,0.0
20230415:1310,205.43,254.14,47.96,9.95,1.79,0.0
20230415:1410,204.53,253.02,38.79,9.74,1.52,0.0
20230415:1510,120.49,156.33,28.39,9.37,1.59,0.0
20230415:1610,73.18,102.44,17.44,8.84,1.86,0.0
20230415:1710,17.66,33.77,6.4,8.14,1.45,0.0
20230415:1810,0.0,0.0,0.0,7.53,1.38,0.0
20230415:1910,0.0,0.0,0.0,7.69,1.31,0.0
20230415:2010,0.0,0.0,0.0,7.22,1.38,0.0
20230415:2110,0.0,0.0,0.0,6.54,1.52,0.0
20230415:2210,0.0,0.0,0.0,5.82,1.38,0.0
20230415:2310,0.0,0.0,0.0,5.21,1.24,0.0
20230416:0010,0.0,0.0,0.0,4.52,1.31,0.0
20230416:0110,0.0,0.0,0.0,4.79,1.17,0.0
20230416:0210,0.0,0.0,0.0,4.6,1.31,0.0
20230416:0310,0.0,0.0,0.0,4.12,1.52,0.0
20230416:0410,0.0,0.0,0.0,4.28,1.38,0.0
20230416:0510,53.08,89.01,7.05,4.33,1.31,0.0
20230416:0610,39.51,60.83,18.09,5.9,1.31,0.0
20230416:0710,87.47,117.05,29.03,7.1,1.93,0.0
20230416:0810,587.1,702.59,39.42,8.63,2.34,0.0
20230416:0910,744.71,915.82,48.56,9.96,2.34,0.0
20230416:1010,233.47,287.45,55.21,11.04,2.28,0.0
20230416:1110,592.49,722.76,57.66,11.33,2.48,0.0
20230416:1210,774.37,958.86,55.0,11.47,2.69,0.0
20230416:1310,638.54,774.74,48.22,11.51,2.97,0.0
20230416:1410,458.56,551.76,39.01,11.14,2.97,0.0
20230416:1510,288.63,364.07,28.58,10.65,2.97,0.0
20230416:1610,91.71,141.4,17.63,9.82,2.69,0.0
20230416:1710,17.61,33.77,6.6,8.79,2.41,0.0
20230416:1810,0.0,0.0,0.0,7.64,2.07,0.0
20230416:1910,0.0,0.0,0.0,7.47,1.79,0.0
20230416:2010,0.0,0.0,0.0,6.87,1.59,0.0
20230416:2110,0.0,0.0,0.0,6.37,1.52,0.0
20230416:2210,0.0,0.0,0.0,5.92,1.52,0.0
20230416:2310,0.0,0.0,0.0,5.51,1.52,0.0
20230417:0010,0.0,0.0,0.0,5.27,1.52,0.0
20230417:0110,0.0,0.0,0.0,5.07,1.59,0.0
20230417:0210,0.0,0.0,0.0,4.82,1.66,0.0
20230417:0310,0.0,0.0,0.0,4.88,1.59,0.0
20230417:0410,0.0,0.0,0.0,4.65,1.59,0.0
20230417:0510,23.11,41.59,7.33,4.77,1.59,0.0
20230417:0610,111.76,144.52,18.37,5.81,1.72,0.0
20230417:0710,212.97,259.5,29.32,7.91,1.72,0.0
20230417:0810,308.3,370.77,39.73,9.53,2.21,0.0
20230417:0910,284.07,344.78,48.89,10.58,2.55,0.0
20230417:1010,280.41,343.1,55.56,11.96,2.55,0.0
20230417:1110,271.57,335.12,58.02,12.94,2.07,0.0
20230417:1210,601.24,748.99,55.31,13.64,1.72,0.0
20230417:1310,490.13,605.51,48.48,14.31,1.72,0.0
20230417:1410,389.37,477.19,39.23,13.59,2.07,0.0
20230417:1510,124.1,162.6,28.78,12.76,2.21,0.0
20230417:1610,31.68,52.53,17.82,12.18,1.93,0.0
20230417:1710,12.38,26.84,6.79,11.31,1.45,0.0
20230417:1810,0.0,0.0,0.0,10.16,1.45,0.0
20230417:1910,0.0,0.0,0.0,8.97,1.45,0.0
20230417:2010,0.0,0.0,0.0,8.01,1.45,0.0
20230417:2110,0.0,0.0,0.0,7.57,1.24,0.0
20230417:2210,0.0,0.0,0.0,7.24,1.24,0.0
20230417:2310,0.0,0.0,0.0,6.96,1.24,0.0
20230418:0010,0.0,0.0,0.0,6.38,1.17,0.0
20230418:0110,0.0,0.0,0.0,6.06,1.24,0.0
20230418:0210,0.0,0.0,0.0,5.75,1.24,0.0
20230418:0310,0.0,0.0,0.0,5.55,1.24,0.0
20230418:0410,0.0,0.0,0.0,5.13,1.31,0.0
20230418:0510,65.5,108.49,7.61,5.15,1.24,0.0
20230418:0610,62.43,88.11,18.65,6.38,0.83,0.0
20230418:0710,107.87,141.53,29.6,8.66,0.83,0.0
20230418:0810,330.77,402.92,40.02,10.3,0.62,0.0
20230418:0910,309.83,382.73,49.21,11.55,0.21,0.0
20230418:1010,260.33,324.15,55.91,12.22,0.34,0.0
20230418:1110,338.11,418.8,58.37,12.91,0.69,0.0
20230418:1210,230.06,286.91,55.62,11.74,0.55,0.0
20230418:1310,371.43,456.94,48.73,12.08,0.76,0.0
20230418:1410,96.36,129.95,39.45,11.34,0.28,0.0
20230418:1510,179.49,228.44,28.98,11.32,0.41,0.0
20230418:1610,94.75,143.03,18.01,10.86,0.07,0.0
20230418:1710,20.68,38.09,6.98,10.27,0.21,0.0
20230418:1810,0.0,0.0,0.0,9.71,0.41,0.0
20230418:1910,0.0,0.0,0.0,8.36,0.76,0.0
20230418:2010,0.0,0.0,0.0,7.44,0.69,0.0
20230418:2110,0.0,0.0,0.0,6.46,0.9,0.0
20230418:2210,0.0,0.0,0.0,5.44,1.03,0.0
